,Donor_Id,P_year,Frequency
0,b'0004480',289,19.0
0,b'0004482',155,10.0
0,b'0004485',71,5.0
0,b'0004486',94,7.0
0,b'0004490',61,4.0
0,b'0004497',1,1.0
0,b'0004510',37,3.0
0,b'0004511',16,1.0
0,b'0004517',36,7.0
0,b'0004519',37,3.0
0,b'0004520',157,10.0
0,b'0004525',56,4.0
0,b'0004528',111,8.0
0,b'0004529',109,10.0
0,b'0004530',1,1.0
0,b'0004531',6,3.0
0,b'0004534',7,4.0
0,b'0004535',156,10.0
0,b'0004538',1,1.0
0,b'0004540',56,4.0
0,b'0004541',1,1.0
0,b'0004546',207,14.0
0,b'0004553',154,10.0
0,b'0004554',160,11.0
0,b'0004560',1,1.0
0,b'0004568',47,8.0
0,b'0004573',112,8.0
0,b'0004586',22,2.0
0,b'0004594',6,3.0
0,b'0004599',171,11.0
0,b'0004609',1,1.0
0,b'0004626',29,2.0
0,b'0004628',157,10.0
0,b'0004634',1,1.0
0,b'0004641',159,11.0
0,b'0004642',1,1.0
0,b'0004651',316,21.0
0,b'0004652',156,10.0
0,b'0004656',1,1.0
0,b'0004673',20,4.0
0,b'0004679',160,11.0
0,b'0004681',1,1.0
0,b'0004683',43,11.0
0,b'0004685',20,3.0
0,b'0004692',1,1.0
0,b'0004693',141,11.0
0,b'0004698',157,10.0
0,b'0004706',155,11.0
0,b'0004707',3,3.0
0,b'0004708',81,6.0
0,b'0004709',151,11.0
0,b'0004710',327,22.0
0,b'0004711',157,10.0
0,b'0004714',156,10.0
0,b'0004721',39,3.0
0,b'0004727',1,1.0
0,b'0004728',1,1.0
0,b'0004729',63,4.0
0,b'0004730',37,6.0
0,b'0004732',155,10.0
0,b'0004746',156,10.0
0,b'0004760',3,3.0
0,b'0004762',1,1.0
0,b'0004767',1,1.0
0,b'0004769',38,4.0
0,b'0004774',70,5.0
0,b'0004778',36,2.0
0,b'0004779',3,3.0
0,b'0004785',154,10.0
0,b'0004788',28,4.0
0,b'0004790',55,4.0
0,b'0004806',1,1.0
0,b'0004830',50,8.0
0,b'0004832',157,10.0
0,b'0004835',1,1.0
0,b'0004837',39,10.0
0,b'0004845',97,10.0
0,b'0004847',56,4.0
0,b'0004848',157,10.0
0,b'0004851',23,8.0
0,b'0004854',53,9.0
0,b'0004858',186,12.0
0,b'0004859',57,19.0
0,b'0004864',19,6.0
0,b'0004870',3,2.0
0,b'0004885',1,1.0
0,b'0004891',1,1.0
0,b'0004893',158,11.0
0,b'0004908',157,10.0
0,b'0004912',157,10.0
0,b'0004924',46,3.0
0,b'0004925',173,12.0
0,b'0004928',47,9.0
0,b'0004934',157,10.0
0,b'0004935',158,11.0
0,b'0004943',136,10.0
0,b'0004955',22,2.0
0,b'0004963',117,11.0
0,b'0004968',23,2.0
0,b'0004972',2,2.0
0,b'0004976',156,10.0
0,b'0004983',1,1.0
0,b'0004986',25,2.0
0,b'0004990',4,2.0
0,b'0005003',9,2.0
0,b'0005006',9,4.0
0,b'0005007',161,11.0
0,b'0005012',154,10.0
0,b'0005014',2,2.0
0,b'0005018',46,4.0
0,b'0005019',3,3.0
0,b'0005020',2,2.0
0,b'0005028',65,8.0
0,b'0005031',313,21.0
0,b'0005038',1,1.0
0,b'0005049',134,9.0
0,b'0005050',157,10.0
0,b'0005052',20,1.0
0,b'0005058',159,11.0
0,b'0005061',1,1.0
0,b'0005068',4,4.0
0,b'0005072',1,1.0
0,b'0005073',156,10.0
